Polite/Not Polite ,Utterance 
POL,CHI: qué te [/] te despertasteis ?
POL,MOT: porque estaba durmiendo .
POL,CHI: y qué estabas haciendo con ésto ?
NOP,MOT: nada [?] .
NOP,CHI: (2.3) vamos a jugar le [?] y [/] y no vamos a saquer@n [*] éste ?
NOP,CHI: vamos a jugar con éste .
NOP,CHI: y no vamos a sacar a éste ?
POL,MOT: bueno .
NOP,CHI: (3.6) estoy sacando !
NOP,CHI: (2.3) yo estoy sacando !
NOP,MOT: (11.7) y ahora los sabe poner ?
POL,CHI: cómo se hace ?
NOP,MOT: póngalos .
NOP,MOT: como los sacó .
POL,MOT: de dónde lo sacó a ése ?
NOP,CHI: de [/] de [/] de aquí .
NOP,MOT: no .
POL,MOT: dónde estaba ?
NOP,CHI: aquí .
NOP,MOT: no .
POL,MOT: dónde estaba ?
NOP,CHI: (2.7) esos dos juntitos co [//] e [/] en (d)ónde los &~jun [//] estos dos [>] ?
NOP,MOT: <ay se> [<] salieron los otros !
NOP,CHI: (4.1) se salieron los ot(r)os ?
POL,MOT: a_ver dónde estaba éste ?
POL,CHI: (3.4) y éste en (d)ónde estaba ?
NOP,CHI: (4.3) dónde [= 'nonde] estaban &~ak [//] todos estaban este@i eh [/] eh [//] y yo sabo@n hacer éste .
NOP,CHI: (14.4) p(r)imero <su &~l> [/] su (g)lobo [= 'lo~bo] .
NOP,CHI: cómo se hace este@i [//] su (g)lobo &~ko [//] &~e [//] qué &~pa [//] cómo hace &~e &~e [/] el (g)lobo este@i de [/] de él este@i en [/] en (1.8) en [/] en [/] en allá que [//] dónde [= 'nonde] vive su (g)lobo ?
NOP,MOT: no sé .
NOP,CHI: <dónde [= 'nonde] estaban> [/] dónde [= 'nonde] estaban unos payasitos <con &~e [/] el &~lo> [//] con un (g)lobo <y un señor> [>] ?
NOP,MOT: <en el &~mer> [<] +/.
NOP,MOT: en el mercado ?
POL,MOT: yo no sé dónde estaba .
NOP,CHI: estaba este@i en un suelo .
NOP,MOT: en un qué ?
NOP,CHI: <en un sueño> [//] en un suelo .
NOP,CHI: (2.5) en un suelo .
 NOP,CHI: en [>] +/.
POL,MOT: en [<] un suelo ?
NOP,CHI: en un suelo donde estaban diciendo viva@q !
NOP,CHI: (4.6) ahí .
POL,MOT: va a (e)l revés .
NOP,CHI: (4.1) (ah)ora <su &~m> [//] así [= a:'si] .
NOP,CHI: (ah)ora [/] (ah)ora su mariposa aquí .
POL,MOT: muy bien !
POL,MOT: (5.3) ahí está .
POL,MOT: (3.3) ahí está bien .
NOP,MOT: y ahora el otro .
POL,MOT: (5.4) éste lo ponemos acá y usted hace éste .
NOP,CHI: (5.4) eh [//] tú lo hágalo .
NOP,CHI: tú .
POL,"MOT: no , yo la ayudo pero usted lo hace ."
POL,CHI: (2.8) bueno [?] .
NOP,MOT: el sol va a ir acá en el medio .
NOP,MOT: pero primero tenemos que poner las otras cosas .
NOP,MOT: a_ver éste dónde va ?
NOP,CHI: éste aquí .
NOP,MOT: no .
NOP,CHI: aquí .
POL,MOT: no .
NOP,CHI: aquí .
POL,MOT: sí .
NOP,CHI: (2.6) y acá qué va ?
NOP,CHI: (1.7) ot(r)o .
NOP,MOT: (2.1) póngalo [= ponga'lo] .
NOP,CHI: (8.6) y é(s)te dón(d)e [= 'none] va ?
NOP,MOT: (1.8) y fíjese dónde va .
NOP,CHI: aquí .
NOP,MOT: no .
NOP,CHI: aquí .
NOP,MOT: acá hay amarillo .
POL,MOT: dónde hay amarillo ?
NOP,MOT: tiene que ir el amarillo junto con el amarillo .
POL,"MOT: ahí , muy bien !"
NOP,CHI: acá .
NOP,MOT: más alto .
NOP,MOT: (3.) <ahí (es)tá> [?] .
NOP,CHI: y el ot(r)o en (d)ónde va [?] ?
NOP,CHI: (5.8) éste dónde [= 'nonde] va ?
NOP,"MOT: y ver , dónde hay amarillo ?"
NOP,MOT: acá .
NOP,MOT: (en)tonces .
NOP,CHI: (5.4) xxx .
NOP,MOT: (3.) no .
NOP,CHI: en (d)ón(d)e ?
NOP,MOT: ahí (e)stá .
NOP,JIM: xxx .
NOP,CHI: (8.1) y esto ?
POL,"MOT: muy bien , ahí ."
NOP,MOT: póngalo .
NOP,CHI: (5.7) [^ bangs piece in] y ?
NOP,CHI: y éste ?
NOP,CHI: aquí [= a:'ki] para comer el huevito .
NOP,MOT: ahí (e)stá .
POL,MOT: ve cómo lo sabe hacer ?
NOP,CHI: y [?] qué es esta mesa ?
NOP,MOT: es la mesa donde el niño está comiendo el huevito .
XXX,JIM: [- eng] I couldn't find anything except this .
NOP,CHI: (4.4) qué es este huevito ?
NOP,CHI: (2.4) <ya me voy a sacar> [?] .
NOP,CHI: mira sandalias me puso el zapato [?] +/.
NOP,MOT: no se saque .
NOP,MOT: no se saque „ eh .
NOP,MOT: no no no no .
NOP,MOT: no se saque .
NOP,MOT: ponga .
NOP,MOT: ahí (e)stá .
POL,MOT: muy bien .
NOP,MOT: vamos a hacer este otro .
NOP,CHI: (2.2) ya ponimos@n éste .
NOP,MOT: éste ya lo pusimos .
NOP,MOT: y ahora ?
NOP,CHI: (1.6) éste en (d)ónde va ?
NOP,MOT: a_ver .
NOP,MOT: (2.8) no .
NOP,CHI: (5.4) <y éste &~en> [/] y éste en (d)ónde va ?
NOP,MOT: no sé .
NOP,MOT: a_ver .
NOP,MOT: póngalo [= ponga'lo] .
NOP,CHI: aquí .
NOP,MOT: no .
NOP,CHI: <sí es> [?] .
NOP,MOT: (2.5) y éste ?
NOP,CHI: acá [//] aquí .
NOP,MOT: (6.) y éste ?
NOP,CHI: acá [//] aquí .
NOP,MOT: no .
NOP,CHI: aquí .
NOP,"MOT: a_ver , póngalo [= ponga'lo] ."
NOP,MOT: póngalo [= ponga'lo] aquí .
NOP,CHI: <ya deja mamá> [?] .
NOP,CHI: (2.7) vamos a leer „ eh ?
NOP,CHI: (2.4) ay !
NOP,CHI: ya vamos a leer .
NOP,CHI: (8.8) ya vamos a leer ?
XXX,MOT: [- eng] getting her book from the shelf .
NOP,CHI: (4.) qué haces [//] haciendo [?] con la grabadora ?
NOP,MOT: nada .
NOP,MOT: y tú qué estás haciendo ?
POL,"CHI: eh , está [//] este Mickey@s tiene somb(r)ero en (d)ónde lo buscó ?"
NOP,MOT: cómo [/] cómo ?
POL,CHI: en (d)ónde buscó el somb(r)ero él ?
NOP,MOT: no sé dónde .
NOP,CHI: &~e [/] en [//] <éste est> [/] éste está enojado .
NOP,MOT: cuál ?
NOP,CHI: éste [/] éste .
POL,MOT: (.) está enojado por qué ?
NOP,CHI: porque está dibujando su mano de él .
POL,MOT: y por eso se enoja ?
POL,CHI: (2.7) por eso se enoja .
NOP,CHI: y este señor ?
NOP,MOT: es el señor que dibujaba los Mickeys .
POL,CHI: po(r) qué ?
NOP,MOT: porque sí .
POL,CHI: (6.8) y [= i:] quién le está (a)yudando la señora ?
NOP,CHI: (8.) qué le está haciendo él a su cola de él ?
NOP,MOT: a la cola de (.) el oso .
NOP,MOT: lo está tratando de agarrar me parece .
POL,CHI: (4.5) y el elon [: león] qué [//] po(r) qué se está bajando de la let(r)a ésta ?
NOP,MOT: mm porque sí .
NOP,CHI: con las manos ?
NOP,"MOT: sí , se está bajando rápido con las manos ."
POL,CHI: por qué ?
NOP,MOT: porque tiene (.) ganas de bajar .
NOP,CHI: (3.1) y subir ot(r)a vez ?
NOP,MOT: bajar bajar bajar y subir otra vez .
NOP,MOT: no sé .
NOP,MOT: a lo mejor va a subir otra vez .
NOP,CHI: y &~po [/] mire se está co(r)tando la nariz !
NOP,MOT: oh !
POL,MOT: se está qué ?
NOP,CHI: <cortando la nariz> [>] .
XXX,JIM: [- eng] <okay@s you@s want@s anything@s> [<] from@s town@s ?
NOP,MOT: cortando la nariz o tocando la nariz ?
NOP,CHI: cortando [!!] la nariz .
NOP,MOT: um@s +...
NOP,CHI: (31.1) mire se está mojando &~l [//] el (.) (z)apato y la mano !
NOP,MOT: mhm .
NOP,CHI: todo .
NOP,MOT: y la mamá lo va a retar .
POL,CHI: po(r) qué ?
NOP,MOT: porque va a tener los zapatitos todos mojados .
POL,CHI: po(r) qué ?
POL,CHI: (5.7) po(r) qué ?
XXX,MOT: [- eng] can you leave that ?
XXX,JIM: [- eng] you said you weren't going to read it anymore .
XXX,MOT: [- eng] I said you could read it then but I'll finish it .
POL,CHI: po(r) qué va a tener todos los zapatitos mojados ?
XXX,"JIM: [- eng] well , do you want anything ?"
XXX,"MOT: [- eng] well , see what we need Jim ."
XXX,MOT: [- eng] we have meat but we don't have anything else to go with it .
XXX,MOT: [- eng] we don't have any lettuce .
XXX,MOT: [- eng] we don't have any xxx [>] .
NOP,CHI: <yo me quiero acostar> [<] [>] .
XXX,JIM: [- eng] <we don't> [<] ?
XXX,JIM: [- eng] I asked her and she said we had everything .
XXX,"MOT: [- eng] well , look in the refrigerator ."
XXX,MOT: [- eng] I didn't find any lettuce yesterday .
XXX,"JIM: [- eng] okay , you want lettuce and what else ?"
XXX,"MOT: [- eng] some more tomatoes , we have very few left ."
XXX,JIM: [- eng] tomatoes .
XXX,MOT: [- eng] uh lemons I think we have .
XXX,MOT: [- eng] uh some fruits .
XXX,MOT: [- eng] (2.1) mangoes .
POL,CHI: (9.9) qué está buscando él ?
POL,CHI: mamá !
POL,CHI: &~m [//] qué está buscando él ?
IMP,MOT: pescaditos .
POL,CHI: para qué ?
NOP,MOT: para comer .
NOP,CHI: con él ?
NOP,MOT: mhm .
NOP,CHI: con el perrito [= pa'Rito] ?
NOP,MOT: con el palito .
NOP,CHI: con el perrito [= pe'Rito] ?
NOP,MOT: con el perrito .
POL,CHI: por qué ?
XXX,JIM: (5.2) okay@s .
XXX,JIM: <what@s now@s> [>] ?
POL,CHI: <y éste> [<] que está ahí &~k [/] qué está haciendo con ésto ?
NOP,JIM: lechuga .
NOP,CHI: este@i y jamón .
NOP,JIM: (2.5) tenemos jamón .
NOP,JIM: tomate .
NOP,JIM: what@s else@s ?
NOP,MOT: milk@s .
NOP,JIM: leche .
NOP,MOT: mangoes@s .
NOP,CHI: mangos .
NOP,CHI: ya tenemos mangos .
NOP,CHI: (4.2) ya tenemos mangos .
NOP,MOT: sí ?
NOP,CHI: sí .
POL,JIM: y qué más ?
NOP,MOT: acelga .
NOP,JIM: tengo una nenita@d buena .
NOP,CHI: <y &~ase> [/] y [/] <y ace(i)te> [//] y aceite .
NOP,MOT: acelga .
NOP,CHI: y aceite [!!] .
NOP,MOT: acelga [!!] .
NOP,CHI: aceite [!!] .
NOP,MOT: aceite tenemos .
XXX,JIM: [- eng] (4.7) (o)kay .
XXX,JIM: [- eng] that it ?
XXX,MOT: [- eng] I think so .
XXX,MOT: [- eng] you should look around in case there's anything else .
XXX,JIM: [- eng] (2.9) bye .
XXX,MOT: [- eng] don't forget the poop .
XXX,JIM: [- eng] what [/] what ?
XXX,MOT: [- eng] don't <&~for> [>] +/.
XXX,JIM: [- eng] <yeah> [<] .
POL,CHI: (6.8) qué son éstos ?
NOP,MOT: no sé .
NOP,MOT: no los veo bien .
POL,CHI: qué son ?
POL,MOT: qué son ?
NOP,MOT: un carrito ?
NOP,CHI: (4.) no se es un carrito .
NOP,CHI: y éste sí es un carrito .
NOP,CHI: es un avión .
NOP,MOT: un avión ?
NOP,CHI: (2.5) éste es un avión .
NOP,MOT: (3.6) no [= no:] lo muerda !
POL,MOT: para qué va a morder el papel ?
NOP,CHI: (2.2) para leer .
NOP,MOT: no se lee mordiendo el papel .
POL,CHI: (12.3) qué es ésto ?
NOP,MOT: un señor con una boca llena de dientes !
XXX,"MOT: [- eng] all this time we're looking at the Mickey Mouse book , <and pointing to the big> [?] pictures in it ."
POL,CHI: qué dices ?
POL,CHI: (2.9) qué dices ?
XXX,MOT: [- eng] I &~s [/] said something in english .
NOP,CHI: mire .
NOP,CHI: mire !
POL,CHI: qué está haciendo el bebé a [/] a (e)l Mickey ?
NOP,CHI: mire .
POL,MOT: cuál bebé ?
NOP,CHI: éste .
NOP,MOT: (3.2) ése es el bebé ?
NOP,MOT: está atadito el Mickey <en un> [//] como un bebé ?
NOP,MOT: en un carrito ?
NOP,CHI: no .
NOP,CHI: <en una> [/] <en una> [/] en una silla .
NOP,MOT: ah .
NOP,CHI: (3.7) mire qué está haciendo él ?
NOP,ISA: Koki !
NOP,ISA: Koki !
NOP,ISA: mira !
NOP,MOT: &~l [/] la llama Isabel .
NOP,ISA: aquí está el elotito@d .
POL,"MOT: mire , ahí está un elotito@d para usted ."
NOP,ISA: está el elotito@d cocinado .
NOP,CHI: acá lo llevo .
POL,ISA: (d)ónde dejaste el xxx ?
XXX,"MOT: [- eng] right at the beginning we were playing with <this fit the pieces into the puzzle> [//] two fit the pieces into the puzzles games , both from Sesame_Street ."
XXX,MOT: [- eng] one is harder than the other .
XXX,MOT: [- eng] the first one that she did was the Bert game and then the Night+and+day .
NOP,CHI: mire qué me dio .
NOP,MOT: es rico ?
NOP,MOT: a_ver ?
NOP,MOT: (3.2) para mí ?
NOP,CHI: ése es para tú .
POL,MOT: ay gracias !
NOP,CHI: (2.7) y éste es para mí .
POL,MOT: ay qué rico !
POL,"MOT: (6.3) mm , bien tiernito !"
NOP,CHI: me lo dio Isabel para tú y éste para mí .
POL,MOT: los dos son para usted Pipi .
NOP,MOT: yo le saco un pedacito .
POL,MOT: (2.1) porque a usted le gustan mucho mucho .
NOP,CHI: (2.2) y a (e)l papá .
NOP,MOT: <también> [?] .
NOP,CHI: (6.5) y mi p(l)ato ?
NOP,MOT: éste es su plato .
NOP,CHI: (4.7) es este lib(r)o ?
NOP,MOT: es un librito .
NOP,CHI: de qué ?
NOP,MOT: de (e)l Mickey .
POL,CHI: po(r) qué ?
NOP,MOT: porque a (e)l Mickey también le gusta tener libritos para ver .
POL,CHI: (4.7) qué es éste ?
NOP,MOT: una estatuita .
NOP,CHI: elle@n [//] de (e)l Mickey ?
NOP,MOT: sí .
POL,CHI: po(r) qué ?
NOP,MOT: (1.9) porque (.) a (e)l Mickey le gusta tener estatuitas .
POL,CHI: (2.6) dónde [= 'nonde] está este@i la estatua g(r)ande de él <no &~kie> [/] no quiere tener [= 'ten e'ner] ?
POL,MOT: cómo [/] cómo ?
POL,MOT: dónde está qué ?
NOP,CHI: la &~e [/] estatua [= es'takwa] (g)rande (.) que [?] Mickey no tiene [*] tener .
POL,MOT: cuál no quiere tener ?
NOP,CHI: la estat(u)a g(r)ande de (e)l Mickey .
NOP,MOT: (3.3) y él no la quiere ?
POL,CHI: (4.2) pe(r)dón .
NOP,MOT: (es)tá bien .
NOP,MOT: y él no la quiere ?
NOP,CHI: (.) sí .
NOP,CHI: (17.6) pero Mickey no me conoce .
POL,MOT: a usted ?
NOP,CHI: no .
NOP,MOT: no .
POL,MOT: y usted lo conoce a Mickey ?
NOP,CHI: 0 [=! nods] .
NOP,MOT: sí ?
NOP,CHI: 0 [=! nods] .
NOP,CHI: y Mickey no [!!] me conoce .
NOP,MOT: y Koki sí [!!] lo conoce .
NOP,CHI: (17.4) a_ver el tuyo ?
NOP,MOT: uh ya lo terminó tan rápido Koki !
POL,MOT: usted come más rápido que el lorito !
NOP,CHI: sí [= 'si:] .
NOP,CHI: eh: [//] acá está el tuyo .
NOP,MOT: aha .
POL,CHI: qué estás escuchando [= esku'Sando] ?
NOP,MOT: voy a después escuchar música pero +...
NOP,MOT: se cae el (.) grabador@d .
NOP,CHI: (5.1) un poquito te(r)miné .
NOP,CHI: era [?] e(l) tuyo ?
NOP,MOT: comalo .
NOP,MOT: (3.4) comalo que Isabel se los hizo a los dos para usted .
NOP,CHI: (2.) y para tú ?
NOP,MOT: para mí no mi amor porque para mí me va a hacer un poquitito de café .
NOP,CHI: (11.1) (és)te ya la te(r)miné .
NOP,CHI: éste ya lo te(r)miné .
POL,CHI: en (d)ónde lo pongo ?
NOP,MOT: déjelo acá .
NOP,CHI: éste lo pongo aquí .
NOP,MOT: no que se ensucia la camita !
NOP,CHI: &~en [//] &~n &~n [/] no se mojó .
POL,MOT: bueno .
POL,MOT: <muy bien> [?] .
NOP,CHI: &~e [/] está secadita .
POL,MOT: bueno .
NOP,MOT: (7.4) qué estatua grande ?
NOP,CHI: es más (g)rande po(r)que voy a la escuela .
NOP,MOT: no .
POL,MOT: qué estatua [!] grande ?
POL,MOT: cuál es la que a Mickey no le gusta tener ?
NOP,CHI: el cuál ?
POL,MOT: usted me dice que a Mickey no le gusta tener la estatua grande .
NOP,MOT: (11.3) la estatua grande de (e)l señor ?
NOP,MOT: que está por allá cuando uno va (.) a Pátzcuaro ?
NOP,CHI: sí .
NOP,MOT: ah .
NOP,MOT: (2.2) a Mickey solo le gusta una estatuita chiquitita .
POL,CHI: (p)o(r) qué ?
NOP,MOT: porque él es chiquito .
POL,CHI: el Mickey ?
NOP,MOT: sí .
NOP,CHI: no es .
NOP,CHI: todavía es g(r)ande éste .
NOP,MOT: todavía es grande ?
NOP,MOT: pero es muy petisito@d .
POL,CHI: po(r) qué ?
NOP,"MOT: porque los ratoncitos son petisitos@d , así ."
NOP,MOT: (1.8) no son grandes [!] grandes [!] .
NOP,MOT: son así nomás .
NOP,CHI: (14.5) te gusta un poquito .
NOP,"MOT: cuando se caen a la cama yo los levanto , y los como ."
NOP,CHI: sí ?
NOP,MOT: mhm .
NOP,CHI: y se moja ?
NOP,MOT: para que no se moje la cama .
NOP,CHI: (11.8) éste todavía t(i)ene elotitos@d .
NOP,MOT: todavía tiene algunos sí .
NOP,CHI: (19.6) ya está .
NOP,CHI: como un loro !
NOP,MOT: como un loro se lo comió tan rápido ?
NOP,CHI: eh .
NOP,MOT: ah [=! exhales] .
NOP,CHI: ya [= 'ya:] !
NOP,MOT: póngalo ahí <a (e)l &~la> [//] en la mesita de [//] que está ahí <en la> [//] a (e)l lado de la cama de (e)l papá .
NOP,CHI: (7.7) allá no ?
NOP,MOT: acá no hay lugar .
NOP,MOT: hay muchas cosas .
NOP,CHI: (3.2) ya vamos a leer ?
POL,MOT: bueno .
NOP,CHI: había una vez un Mickey de [/] de [//] con la estatuita <y su> [//] y tenía muchos lib(r)os de éstos y [/] y de éste .
NOP,CHI: mire qué le pasó ?
NOP,MOT: dice que tiene sueño .
NOP,MOT: hace [<] así .
NOP,MOT: porque tiene sueño .
NOP,MOT: (3.3) <y se> [>] va a dormir .
NOP,CHI: xxx [<] .
NOP,CHI: ya está durmiendo [= bu'myendo] .
NOP,MOT: mhm .
NOP,CHI: y se va a acostar acá ?
NOP,MOT: en el suelo ?
POL,CHI: dónde [= 'nonde] está su cama ?
NOP,MOT: no está ahí .
NOP,MOT: no sé dónde estará .
NOP,CHI: (es)tá [//] y su mamá ?
NOP,MOT: no sé .
NOP,CHI: que [//] quiele [//] quiere [//] que [/] hh que [/] que +...
NOP,MOT: eso es la manito que la tiene así cerradita mire .
NOP,MOT: así .
POL,CHI: por qué ?
NOP,MOT: porque cuando uno bosteza +...
NOP,"MOT: +, <la tiene> [?] cerradita ."
POL,CHI: mire !
POL,CHI: mire !
NOP,"MOT: ah , ahí está con muchos palos !"
NOP,MOT: y con cara de enojado !
NOP,CHI: sí .
POL,CHI: qué le pasó acá ?
NOP,MOT: tiene (.) un redondelito en el guante .
POL,CHI: (3.) qué está haciendo él ?
NOP,CHI: mire &~ko [/] cómo hace ?
NOP,MOT: así .
POL,CHI: (4.3) por qué ?
NOP,CHI: &~ko [/] como yo ?
NOP,MOT: sí .
NOP,CHI: así ?
NOP,MOT: así .
POL,CHI: po(r) qué [=? pa(ra) qué] ?
NOP,MOT: <a lo mejor> [>] +/.
NOP,CHI: <como yo> [<] ?
NOP,MOT: a lo mejor le va a pegar a alguien .
NOP,CHI: (3.6) como yo ?
NOP,MOT: sí .
POL,CHI: po(r) qué ?
NOP,MOT: porque así tiene el puñito cerrado para (.) pegar a alguien .
NOP,"MOT: a lo mejor , yo no sé ."
POL,CHI: qué vas a escuchar ?
NOP,MOT: nada .
NOP,MOT: por ahora nada .
NOP,MOT: después escucho .
POL,MOT: y acá qué está haciendo ?
POL,CHI: qué es ?
POL,CHI: (1.7) qué es ?
NOP,MOT: él qué está haciendo ?
POL,CHI: qué es ésto ?
NOP,MOT: ahí está subiendo (.) o bajando una escalera o algo así .
NOP,CHI: &~es [/] está hab(l)ando con una let(r)a i@l .
NOP,MOT: ah está hablando con las letras ?
NOP,CHI: sí .
NOP,CHI: mire [= 'mi:re] están &~bala: [/] ba(i)lando [= ba'la:ndo] y ésto .
NOP,MOT: mire [?] .
POL,CHI: y este pato y: [//] cómo estaban bailando estos patos ?
POL,CHI: (2.) este [//] estos patos cómo estaban bailando ?
NOP,MOT: &~plin &~plin &~plin &~plin &~plin &~plin &~plin &~plin &~plin &~plin &~plin &~plin &~plin .
POL,CHI: y éste qué [/] qué [/] qué está (ha)ciendo bailando acá ?
NOP,MOT: y ése está (.) mm +...
NOP,MOT: (2.5) (es)tá bailando ahí .
NOP,MOT: no sé qué está haciendo .
POL,CHI: ba(i)lando ahí qué está haciendo ?
NOP,MOT: está bailando ahí con otra cosa .
NOP,CHI: con qué ot(r)a cosa ?
NOP,MOT: no sé .
NOP,ISA: le doro un pan o así ?
POL,"MOT: por_favor Isabel , sí ."
NOP,MOT: si le puede poner un poquito de mantequilla .
NOP,ISA: sí .
POL,CHI: <yo estoy> [//] eh mira [//] qué [//] &~a [/] a dónde va el barco ?
NOP,MOT: a pasear .
NOP,MOT: yo no sé a dónde va .
NOP,ISA: me llevo ésto (ah)ora ?
POL,MOT: sí gracias Isabel .
NOP,MOT: acá hay otra tacita .
NOP,"CHI: no , el agua !"
NOP,MOT: después en la cocina se toma agua .
NOP,MOT: acá arriba de la cama no porque es un lío .
NOP,ISA: se moja la camita .
NOP,CHI: (3.8) el agua para mí .
NOP,MOT: va a ir a tomar agua a la cocina ?
NOP,CHI: sí .
POL,MOT: bueno .
NOP,CHI: y después [= deh'kwes] vengo &~la [//] a leer .
NOP,CHI: voy a tomar toda .
POL,MOT: cuándo viene ?
NOP,CHI: &~deh [//] a [/] a [/] (.) a ocho .
POL,MOT: ah bueno .
XXX,@New Episode
XXX,"@Comment: As tape is turned on K calls from door. She walks in having been in the kitchen , she's holding a plastic bag with airline cutlery , salt , pepper , etc"
NOP,CHI: esas cucharitas y tenedores son para mí .
NOP,MOT: sí ?
NOP,CHI: sí .
POL,MOT: quién los regaló ?
NOP,CHI: eh [= e:] Isabel .
NOP,MOT: ah .
NOP,CHI: éstos son para mí para [//] po(r)que me de [*] los regaló [= Rela'lo] Isabel .
POL,MOT: qué [/] qué ?
NOP,CHI: Isabel me los regaló [= Rela'lo] .
NOP,CHI: (6.) son para mí .
NOP,CHI: y para jugar [= ju'bar] .
NOP,CHI: (1.9) ay !
NOP,MOT: (2.) no [= 'no:] se meta el [//] ese pepelito [: papelito] [*] en la boca .
NOP,MOT: es plástico .
POL,CHI: (3.8) de qué éste [//] ésto de p(l)ástico ?
POL,MOT: cómo [/] cómo ?
NOP,MOT: mire para acá que no la puedo oir .
NOP,CHI: (.) qué es éste meta [?] de p(l)ástico ?
NOP,MOT: es ésto .
NOP,MOT: plástico .
NOP,MOT: de nilón .
NOP,MOT: no se puede comer .
POL,CHI: <cuál c> [/] (.) cuál comidita se puede [= 'kwede] comer ?
NOP,MOT: lo que es comida .
NOP,MOT: no lo que es papelito .
POL,CHI: (11.2) qué es ésto ?
NOP,MOT: eso es sal .
NOP,MOT: no la abra .
NOP,MOT: ésto lo vamos a llevar a la mesa „ sabe ?
NOP,MOT: y el azúcar también porque hay una de azúcar .
NOP,MOT: ésto es pimienta .
NOP,MOT: ésto pica .
NOP,MOT: y ésto es azúcar y hace mucho lío .
NOP,MOT: todo ésto lo llevamos (1.7) a la mesa .
POL,CHI: bueno .
NOP,CHI: y éste ?
NOP,MOT: ése es un cuchillo .
NOP,CHI: que no co(r)ta ?
NOP,MOT: sí corta .
NOP,MOT: mire .
NOP,CHI: (7.9) es para mí ?
NOP,CHI: ya [//] &~y: [//] ya tenemos <otro &~kuci> [//] un [/] un [//] ot(r)o tenedor allá .
NOP,CHI: lo voy a buscar .
NOP,CHI: ay !
NOP,CHI: voy a buscar el ot(r)o tenedor luego [?] .
POL,MOT: bueno .